flow_id,flow_name,source,source_module_or_signal,transport_or_interface,framing_or_format,intermediate_handler,destination,destination_module_or_display,system_purpose,primary_documents,known_caveats
F001,GUI start flag to MCU,Host GUI,GUI_V6.py,USB CDC,4-byte start flag [23 46 158 237],USBHandler WAITING_FOR_START,STM32 MCU,USBHandler state machine,Begin control-plane startup handshake,"system_guide/System_Architecture_Guide.md; system_guide/GUI/GUI_Host_Guide.md; system_guide/MCU/MCU_Firmware_Guide.md; system_guide/Protocol_Contracts_and_Known_Gaps.md","Startup loop later still exits on start flag receipt rather than strictly on READY_FOR_DATA"
F002,GUI settings packet to MCU,Host GUI,GUI_V6.py,USB CDC,SET + binary payload + END,USBHandler -> RadarSettings::parseFromUSB(),STM32 MCU,RadarSettings parser,Deliver radar configuration to embedded control path,"system_guide/GUI/GUI_Host_Guide.md; system_guide/MCU/MCU_Firmware_Guide.md; system_guide/Protocol_Contracts_and_Known_Gaps.md","Field order is clear but repository still contains 82 vs 74 byte-count inconsistency"
F003,MCU accepted config state,STM32 MCU,USBHandler internal state,Internal firmware state,READY_FOR_DATA,main.cpp startup loop,Firmware startup sequence,systemPowerUpSequence and related startup actions,Allow radar hardware sequencing to proceed,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/System_Architecture_Guide.md","READY_FOR_DATA is checked inside loop body but final blocking condition is weaker than strict validated-settings gating"
F004,MCU initial status to host,STM32 MCU,getSystemStatusForGUI / CDC_Transmit_FS,USB CDC,Status text string,CDC transmit path,Host GUI / host terminal,GUI or engineering-side status consumption,Provide early subsystem health visibility,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/System_Architecture_Guide.md","Status is mostly text-based rather than a strongly structured telemetry packet"
F005,Host command word to FPGA,Host protocol layer,radar_protocol.py build_command,FT601,32-bit command word {opcode addr value},usb_data_interface.v read path,FPGA runtime control registers,usb_data_interface.v / radar_system_top.v,Allow runtime control of scan mode timing CFAR MTI and status requests,"system_guide/GUI/GUI_Host_Guide.md; system_guide/Protocol_Contracts_and_Known_Gaps.md; system_guide/FPGA/FPGA_Interfaces_and_Verification_Guide.md","Symbolic opcode naming is not always perfectly canonical even though bit layout is stable"
F006,FPGA data packet to host,FPGA processing path,usb_data_interface.v write FSM,FT601,0xAA data header + payload + 0x55 footer,radar_protocol.py parse path,Host acquisition layer,RadarAcquisition / RadarFrame assembly,Transfer processed radar data to host,"system_guide/GUI/GUI_Host_Guide.md; system_guide/Protocol_Contracts_and_Known_Gaps.md; system_guide/FPGA/FPGA_Interfaces_and_Verification_Guide.md","Packet includes repeated shifted words for FT601 behavior so logical payload is not identical to raw transfer shape"
F007,FPGA status packet to host,FPGA runtime status,usb_data_interface.v status sender,FT601,0xBB status header + 6 words + 0x55 footer,radar_protocol.py status parse path,Host acquisition callbacks,Dashboard/status display path,Report FPGA runtime configuration and state back to host,"system_guide/Protocol_Contracts_and_Known_Gaps.md; system_guide/FPGA/FPGA_Interfaces_and_Verification_Guide.md; system_guide/GUI/GUI_Host_Guide.md","Status payload is useful but still relatively small compared with what future debugging may need"
F008,FT601 bytes to assembled frame,FT601 streaming bytes,RadarAcquisition,Host-side byte stream,NUM_RANGE_BINS * NUM_DOPPLER_BINS sample assembly,radar_protocol.py parser + acquisition queue,Host display layer,RadarFrame queue and plotting path,Turn packet stream into displayable range-Doppler frame,"system_guide/GUI/GUI_Host_Guide.md; system_guide/Protocol_Contracts_and_Known_Gaps.md","Partial packet reconstruction and sustained-stream boundary handling still deserve deeper analysis"
F009,ADC samples into FPGA receive chain,ADC hardware,AD9484 LVDS outputs,LVDS source-synchronous capture,adc_d_p/n plus adc_dco,ad9484_interface_400m.v,FPGA receiver,radar_receiver_final.v front end,Capture raw radar samples safely,"system_guide/FPGA/FPGA_Pin_Reference.md; system_guide/FPGA/FPGA_Receiver_and_ADC_Pipeline_Guide.md; system_guide/FPGA/FPGA_Architecture_Guide.md","Errors here can masquerade as downstream algorithm failures"
F010,ADC stream into DDC,FPGA ADC capture,ad9484_interface_400m.v,Internal FPGA high-speed path,400 MSPS sample stream,ddc_400m.v,FPGA baseband path,DDC outputs at lower rate,Convert IF samples into manageable baseband I/Q,"system_guide/FPGA/FPGA_Receiver_and_ADC_Pipeline_Guide.md; system_guide/FPGA/FPGA_Architecture_Guide.md","Clock-domain and fixed-point assumptions are critical here"
F011,Baseband into matched filter,FPGA baseband path,ddc_400m.v,Internal FPGA processing stream,Complex sample stream,matched_filter_processing_chain.v,FPGA range-processing path,Matched filter range profile generation,Perform pulse compression,"system_guide/FPGA/FPGA_Signal_Processing_Guide.md; system_guide/FPGA/FPGA_Architecture_Guide.md","Architectural explanation is strong but not yet a measured-performance document"
F012,Matched filter into range reduction,FPGA range profile,matched_filter_processing_chain.v,Internal FPGA processing stream,1024-point range output,range_bin_decimator.v,FPGA reduced-range path,Selected reduced bin set,Reduce later Doppler workload,"system_guide/FPGA/FPGA_Signal_Processing_Guide.md","Choice of reduction mode affects later interpretation"
F013,Range bins into MTI,FPGA reduced-range path,range_bin_decimator.v,Internal FPGA processing stream,Reduced range-bin stream,mti_canceller.v,FPGA clutter-suppressed path,MTI output stream,Suppress stationary clutter before Doppler,"system_guide/FPGA/FPGA_Signal_Processing_Guide.md","Static clutter suppression can also weaken slow-target response"
F014,MTI into Doppler processor,FPGA slow-time path,mti_canceller.v,Internal FPGA processing stream,Per-bin chirp sequence,doppler_processor.v,FPGA velocity-processing path,Doppler spectrum outputs,Estimate velocity content,"system_guide/FPGA/FPGA_Signal_Processing_Guide.md","Staggered PRF improves ambiguity handling but complicates interpretation"
F015,Doppler output into CFAR,FPGA Doppler path,doppler_processor.v,Internal FPGA processing stream,Range-Doppler values,cfar_ca.v,FPGA detection path,Detection flags and adaptive thresholding,Produce detections under varying clutter/noise,"system_guide/FPGA/FPGA_Signal_Processing_Guide.md","Threshold quality depends on chosen CFAR mode and configuration"
F016,MCU to FPGA reset and enable,STM32 MCU,main.cpp GPIO writes,Direct GPIO control,Reset pulse and enable levels,GPIO sequencing,FPGA and RF path,FPGA reset_n and TX mixer startup path,Bring digital and RF path into active state safely,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/MCU/MCU_Pin_Reference.md; system_guide/device_connection_matrix.csv","Control ownership is split between startup sequencing on MCU and runtime timing on FPGA"
F017,STM32 scan triggers into FPGA,STM32 MCU,stm32_new_chirp / elevation / azimuth GPIO,Direct GPIO into FPGA,Toggle-style event signaling,radar_transmitter.v and radar_mode_controller.v CDC handling,FPGA scan/timing logic,Internal chirp elevation azimuth event pulses,Coordinate scan and chirp timing,"system_guide/FPGA/FPGA_Transmitter_and_Scan_Control_Guide.md; system_guide/FPGA/FPGA_Pin_Reference.md","Single-cycle event transfer depends on correct toggle CDC behavior"
F018,STM32 SPI bridge through FPGA,STM32 MCU,3.3V SPI and ADAR chip-select GPIO,3.3V-to-1.8V bridge through FPGA,Passive SPI pass-through,radar_transmitter.v bridge path,ADAR1000 beamformer side,1.8V beamformer SPI pins,Carry beamformer control from MCU to front end,"system_guide/FPGA/FPGA_Transmitter_and_Scan_Control_Guide.md; system_guide/FPGA/FPGA_Pin_Reference.md; system_guide/MCU/MCU_Pin_Reference.md","FPGA bridges the bus but does not own the beamformer protocol"
F019,GPS serial data into parser,GPS receiver,UART5 RX,UART serial,NMEA byte stream,TinyGPSPlus parser,MCU platform state,current_gps_data and status text,Provide position/time metadata,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/MCU/MCU_Pin_Reference.md; system_guide/device_connection_matrix.csv","GPS availability and fix quality vary with environment"
F020,Environmental sensor data into status,Platform sensors,BMP180 GY-85 ADS7830 paths,I2C and GPIO interrupts,Sensor register reads and sampled values,BMP180 GY_85_HAL ADS7830 drivers,MCU status path,status reporting and health checks,Provide platform and health telemetry,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/MCU/MCU_Pin_Reference.md; system_guide/device_connection_matrix.csv","Some sensor-bus ownership details can still be expanded further"
